sku,type,category_L1,category_L2,vendor,rank
3.61E+12,Sally Hansen,Beauty,Makeup,Brands Unlimited - CD,260
8.43E+12,Mandarina Duck,Fashion,Bags,Bin Bakar,261
5.91E+12,WB by HEMANI Skin Care,Beauty,Skincare,Hemani Herbals,262
3.62E+12,Bourjois,Beauty,Makeup,Brands Unlimited - CD,263
8.96E+12,WB by HEMANI Fragrance,Beauty,Fragrances,Hemani Herbals,264
8.96E+12,Aijaz Aslam,Beauty,Fragrances,Hemani Herbals,265
3.35E+12,Paco Rabanne,Beauty,Fragrances,Bin Bakar,266
6.29E+12,Armaf,Beauty,Fragrances,Bin Bakar,267
8.00E+12,LA PERLA,Beauty,Fragrances,Bin Bakar,268
6.29E+12,Vivarea,Fashion,Eastern,Bagallery,269
6.29E+12,Kerastase,Beauty,Haircare,L'Oreal PPD,270
3.61E+12,Ralph Lauren,Beauty,Fragrances,Eleganz Luxury C.D Fragrances,271
8.96E+12,Ayesha Omer,Beauty,Skincare,Hemani Herbals,272
8.96E+12,Bundle,NULL,NULL,Hemani Herbals,273
8.68E+12,WB by HEMANI Fragrance,Beauty,Fragrances,Hemani Herbals,274
6.29E+12,Chris Adam,Beauty,Fragrances,Madina Business Associates,275
3.61E+12,Bourjois,Beauty,Makeup,Bourjois,276
3.61E+12,Davidoff,Beauty,Fragrances,Bin Bakar,277
8.96E+12,Dr. Herbalist,Beauty,Skincare,Hemani Herbals,278
3.61E+12,BIOTHERM,Beauty,Skincare,Elixir Marketing,279
3.61E+12,Giorgio Armani,Beauty,Fragrances,Bagallery,280
4.01E+12,Remington,Beauty,Beauty Tools,Bin Bakar,281
6.90E+12,Emerce Makeup,Emerce,Makeup,Bagallery,282
